"Tabela 1419 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Brasil"
"Mês";"Geral, grupo, subgrupo, item e subitem";"IPCA - Variação mensal (%)";"IPCA - Peso mensal (%)"
"novembro 2013";"8102.Leitura";"0,24";"0,5435"
"novembro 2013";"8103.Papelaria";"0,65";"0,3391"
"novembro 2013";"8104.Cursos diversos";"0,00";"0,7936"
"novembro 2013";"9.Comunicação";"0,40";"4,5429"
"dezembro 2013";"Índice geral";"0,92";"100,0000"
"dezembro 2013";"1.Alimentação e bebidas";"0,89";"24,5732"
"dezembro 2013";"2101.Aluguel e taxas";"0,68";"7,2399"
"dezembro 2013";"2103.Reparos";"0,41";"2,5083"
"dezembro 2013";"2104.Artigos de limpeza";"0,44";"0,8360"
"dezembro 2013";"22.Combustíveis e energia";"0,31";"3,8691"
"dezembro 2013";"3.Artigos de residência";"0,89";"4,5050"
"dezembro 2013";"4.Vestuário";"0,80";"6,6373"
"dezembro 2013";"5101.Transporte público";"2,58";"4,7070"
"dezembro 2013";"5102.Veículo próprio";"0,29";"9,2727"
"dezembro 2013";"5104.Combustíveis (veículos)";"4,12";"4,8829"
"dezembro 2013";"61.Produtos farmacêuticos e óticos";"0,03";"3,6964"
"dezembro 2013";"62.Serviços de saúde";"0,59";"4,9112"
"dezembro 2013";"63.Cuidados pessoais";"0,58";"2,6624"
"dezembro 2013";"71.Serviços pessoais";"1,04";"6,4401"
"dezembro 2013";"7201001.Cinema";"-0,46";"0,1931"
"dezembro 2013";"7201002.CD e DVD";"0,16";"0,0606"
"dezembro 2013";"7201003.Ingresso para jogo";"0,00";"0,0125"
"dezembro 2013";"7201006.Clube";"-0,74";"0,1668"
"dezembro 2013";"7201010.Instrumento musical";"1,03";"0,0413"
"dezembro 2013";"7201018.Tratamento de animais";"1,09";"0,2054"
"dezembro 2013";"7201019.Bicicleta";"0,25";"0,0963"
"dezembro 2013";"7201020.Alimento para animais";"0,69";"0,2526"
"dezembro 2013";"7201023.Brinquedo";"-0,19";"0,4411"
"dezembro 2013";"7201052.Locação de DVD";"0,00";"0,1373"
"dezembro 2013";"7201054.Boate e danceteria";"0,38";"0,2904"
"dezembro 2013";"7201063.Jogos de azar";"0,00";"0,3731"
"dezembro 2013";"7201068.Motel";"1,32";"0,0035"
"dezembro 2013";"7201090.Hotel";"-0,61";"0,4220"
"dezembro 2013";"7201095.Excursão";"8,89";"0,3622"
"dezembro 2013";"7202.Fumo";"0,57";"1,0121"
"dezembro 2013";"7203.Fotografia e filmagem";"0,56";"0,0735"
"dezembro 2013";"8101.Cursos regulares";"0,00";"2,9075"
"dezembro 2013";"8102.Leitura";"0,17";"0,5417"
"dezembro 2013";"8103.Papelaria";"0,46";"0,3394"
"dezembro 2013";"8104.Cursos diversos";"0,00";"0,7894"
"dezembro 2013";"9.Comunicação";"0,74";"4,5367"
"janeiro 2014";"Índice geral";"0,55";"100,0000"
"janeiro 2014";"1.Alimentação e bebidas";"0,84";"24,5586"
"janeiro 2014";"2101.Aluguel e taxas";"0,76";"7,1934"
"janeiro 2014";"2103.Reparos";"0,84";"2,4986"
"janeiro 2014";"2104.Artigos de limpeza";"1,21";"0,8358"
"janeiro 2014";"22.Combustíveis e energia";"-0,16";"3,8803"
"janeiro 2014";"3.Artigos de residência";"0,49";"4,5276"
"janeiro 2014";"4.Vestuário";"-0,15";"6,6545"
"janeiro 2014";"5101.Transporte público";"-1,68";"4,7374"
"janeiro 2014";"5102.Veículo próprio";"0,38";"9,2480"
"janeiro 2014";"5104.Combustíveis (veículos)";"0,77";"5,0263"
"janeiro 2014";"61.Produtos farmacêuticos e óticos";"0,41";"3,6764"
"janeiro 2014";"62.Serviços de saúde";"1,00";"4,8931"
"janeiro 2014";"63.Cuidados pessoais";"-0,38";"2,6673"
"janeiro 2014";"71.Serviços pessoais";"0,82";"6,4426"
"janeiro 2014";"7201001.Cinema";"0,20";"0,1881"
"janeiro 2014";"7201002.CD e DVD";"-0,83";"0,0599"
"janeiro 2014";"7201003.Ingresso para jogo";"-0,48";"0,0124"
"janeiro 2014";"7201006.Clube";"0,11";"0,1605"
"janeiro 2014";"7201010.Instrumento musical";"2,06";"0,0427"
"janeiro 2014";"7201018.Tratamento de animais";"0,79";"0,2044"
"janeiro 2014";"7201019.Bicicleta";"1,14";"0,0984"
"janeiro 2014";"7201020.Alimento para animais";"0,70";"0,2539"
"janeiro 2014";"7201023.Brinquedo";"0,76";"0,4362"
"janeiro 2014";"7201052.Locação de DVD";"0,37";"0,1339"
"janeiro 2014";"7201054.Boate e danceteria";"0,35";"0,2881"
"janeiro 2014";"7201063.Jogos de azar";"0,00";"0,3654"
"janeiro 2014";"7201068.Motel";"-1,42";"0,0035"
"janeiro 2014";"7201090.Hotel";"0,90";"0,4161"
"janeiro 2014";"7201095.Excursão";"9,26";"0,3885"
"janeiro 2014";"7202.Fumo";"7,79";"0,9977"
"janeiro 2014";"7203.Fotografia e filmagem";"0,90";"0,0720"
"janeiro 2014";"8101.Cursos regulares";"0,36";"2,8559"
"janeiro 2014";"8102.Leitura";"1,62";"0,5339"
"janeiro 2014";"8103.Papelaria";"1,95";"0,3373"
"janeiro 2014";"8104.Cursos diversos";"0,00";"0,7763"
"janeiro 2014";"9.Comunicação";"0,03";"4,5349"
"fevereiro 2014";"Índice geral";"0,69";"100,0000"
"fevereiro 2014";"1.Alimentação e bebidas";"0,56";"24,6290"
"fevereiro 2014";"2101.Aluguel e taxas";"0,94";"7,2084"
"fevereiro 2014";"2103.Reparos";"0,79";"2,5053"
"fevereiro 2014";"2104.Artigos de limpeza";"0,53";"0,8412"
"fevereiro 2014";"22.Combustíveis e energia";"0,48";"3,8527"
"fevereiro 2014";"3.Artigos de residência";"1,07";"4,5244"
"fevereiro 2014";"4.Vestuário";"-0,40";"6,6072"
"fevereiro 2014";"5101.Transporte público";"-1,66";"4,6328"
"fevereiro 2014";"5102.Veículo próprio";"0,52";"9,2309"
"fevereiro 2014";"5104.Combustíveis (veículos)";"0,37";"5,0369"
"fevereiro 2014";"61.Produtos farmacêuticos e óticos";"0,14";"3,6711"
"fevereiro 2014";"62.Serviços de saúde";"0,59";"4,9150"
"fevereiro 2014";"63.Cuidados pessoais";"1,86";"2,6424"
"fevereiro 2014";"71.Serviços pessoais";"1,19";"6,4603"
"fevereiro 2014";"7201001.Cinema";"1,10";"0,1874"
"fevereiro 2014";"7201002.CD e DVD";"-2,34";"0,0590"
"fevereiro 2014";"7201003.Ingresso para jogo";"6,68";"0,0123"
"fevereiro 2014";"7201006.Clube";"1,79";"0,1598"
"fevereiro 2014";"7201010.Instrumento musical";"-0,26";"0,0434"
"fevereiro 2014";"7201018.Tratamento de animais";"1,29";"0,2049"
"fevereiro 2014";"7201019.Bicicleta";"1,74";"0,0990"
"fevereiro 2014";"7201020.Alimento para animais";"0,85";"0,2543"
"fevereiro 2014";"7201023.Brinquedo";"-0,19";"0,4372"
"fevereiro 2014";"7201052.Locação de DVD";"-0,46";"0,1336"
"fevereiro 2014";"7201054.Boate e danceteria";"1,30";"0,2875"
"fevereiro 2014";"7201063.Jogos de azar";"0,00";"0,3634"
"fevereiro 2014";"7201068.Motel";"-0,11";"0,0035"
"fevereiro 2014";"7201090.Hotel";"1,37";"0,4175"
"fevereiro 2014";"7201095.Excursão";"-5,19";"0,4221"
"fevereiro 2014";"7202.Fumo";"-0,06";"1,0696"
"fevereiro 2014";"7203.Fotografia e filmagem";"0,44";"0,0722"
"fevereiro 2014";"8101.Cursos regulares";"7,64";"2,8505"
"fevereiro 2014";"8102.Leitura";"0,46";"0,5397"
"fevereiro 2014";"8103.Papelaria";"0,76";"0,3420"
"fevereiro 2014";"8104.Cursos diversos";"5,95";"0,7722"
"fevereiro 2014";"9.Comunicação";"0,14";"4,5113"
"março 2014";"Índice geral";"0,92";"100,0000"
"março 2014";"1.Alimentação e bebidas";"1,92";"24,6007"
"março 2014";"2101.Aluguel e taxas";"0,46";"7,2248"
"março 2014";"2103.Reparos";"0,94";"2,5081"
"março 2014";"2104.Artigos de limpeza";"1,55";"0,8400"
"março 2014";"22.Combustíveis e energia";"-0,58";"3,8446"
"março 2014";"3.Artigos de residência";"0,38";"4,5425"
"março 2014";"4.Vestuário";"0,31";"6,5374"
"março 2014";"5101.Transporte público";"3,01";"4,5229"
"março 2014";"5102.Veículo próprio";"0,63";"9,2153"
"março 2014";"5104.Combustíveis (veículos)";"1,26";"5,0210"
"março 2014";"61.Produtos farmacêuticos e óticos";"-0,03";"3,6511"
"março 2014";"62.Serviços de saúde";"0,74";"4,9076"
"março 2014";"63.Cuidados pessoais";"0,50";"2,6739"
"março 2014";"71.Serviços pessoais";"1,13";"6,4912"
"março 2014";"7201001.Cinema";"-0,32";"0,1880"
"março 2014";"7201002.CD e DVD";"0,72";"0,0573"
"março 2014";"7201003.Ingresso para jogo";"3,10";"0,0130"
"março 2014";"7201006.Clube";"-1,57";"0,1614"
"março 2014";"7201010.Instrumento musical";"1,82";"0,0429"
"março 2014";"7201018.Tratamento de animais";"3,25";"0,2060"
"março 2014";"7201019.Bicicleta";"0,58";"0,1000"
"março 2014";"7201020.Alimento para animais";"0,19";"0,2546"
"março 2014";"7201023.Brinquedo";"0,90";"0,4332"
"março 2014";"7201052.Locação de DVD";"0,06";"0,1321"
"março 2014";"7201054.Boate e danceteria";"0,83";"0,2893"
"março 2014";"7201063.Jogos de azar";"0,00";"0,3610"
"março 2014";"7201068.Motel";"4,31";"0,0035"
"março 2014";"7201090.Hotel";"3,01";"0,4204"
"março 2014";"7201095.Excursão";"-2,20";"0,3973"
"março 2014";"7202.Fumo";"-0,49";"1,0612"
"março 2014";"7203.Fotografia e filmagem";"0,06";"0,0720"
"março 2014";"8101.Cursos regulares";"0,46";"3,0465"
"março 2014";"8102.Leitura";"0,21";"0,5382"
"março 2014";"8103.Papelaria";"1,53";"0,3424"
"março 2014";"8104.Cursos diversos";"0,63";"0,8123"
"março 2014";"9.Comunicação";"-1,26";"4,4860"
"abril 2014";"Índice geral";"0,67";"100,0000"
"abril 2014";"1.Alimentação e bebidas";"1,19";"24,8482"
"abril 2014";"2101.Aluguel e taxas";"0,64";"7,1904"
"abril 2014";"2103.Reparos";"0,99";"2,5087"
"abril 2014";"2104.Artigos de limpeza";"1,06";"0,8455"
"abril 2014";"22.Combustíveis e energia";"1,18";"3,7876"
"abril 2014";"3.Artigos de residência";"0,20";"4,5191"
"abril 2014";"4.Vestuário";"0,47";"6,4998"
"abril 2014";"5101.Transporte público";"0,01";"4,6153"
"abril 2014";"5102.Veículo próprio";"0,39";"9,1894"
"abril 2014";"5104.Combustíveis (veículos)";"0,46";"5,0376"
"abril 2014";"61.Produtos farmacêuticos e óticos";"1,69";"3,6169"
"abril 2014";"62.Serviços de saúde";"0,76";"4,8984"
"abril 2014";"63.Cuidados pessoais";"0,53";"2,6635"
"abril 2014";"71.Serviços pessoais";"0,41";"6,5040"
"abril 2014";"7201001.Cinema";"2,19";"0,1856"
"abril 2014";"7201002.CD e DVD";"-0,86";"0,0572"
"abril 2014";"7201003.Ingresso para jogo";"4,00";"0,0133"
"abril 2014";"7201006.Clube";"1,21";"0,1574"
"abril 2014";"7201010.Instrumento musical";"0,72";"0,0432"
"abril 2014";"7201018.Tratamento de animais";"0,12";"0,2107"
"abril 2014";"7201019.Bicicleta";"-0,16";"0,0997"
"abril 2014";"7201020.Alimento para animais";"0,27";"0,2527"
"abril 2014";"7201023.Brinquedo";"1,21";"0,4332"
"abril 2014";"7201052.Locação de DVD";"-1,28";"0,1310"
"abril 2014";"7201054.Boate e danceteria";"1,26";"0,2891"
"abril 2014";"7201063.Jogos de azar";"0,00";"0,3577"
"abril 2014";"7201068.Motel";"0,19";"0,0036"
"abril 2014";"7201090.Hotel";"0,40";"0,4291"
"abril 2014";"7201095.Excursão";"-2,74";"0,3845"
"abril 2014";"7202.Fumo";"0,00";"1,0464"
"abril 2014";"7203.Fotografia e filmagem";"1,60";"0,0714"
"abril 2014";"8101.Cursos regulares";"0,06";"3,0326"
"abril 2014";"8102.Leitura";"0,08";"0,5342"
"abril 2014";"8103.Papelaria";"-0,21";"0,3445"
"abril 2014";"8104.Cursos diversos";"0,00";"0,8098"
"abril 2014";"9.Comunicação";"0,02";"4,3885"
"maio 2014";"Índice geral";"0,46";"100,0000"
"maio 2014";"1.Alimentação e bebidas";"0,58";"24,9757"
"maio 2014";"2101.Aluguel e taxas";"-0,52";"7,1895"
"maio 2014";"2103.Reparos";"0,64";"2,5162"
"maio 2014";"2104.Artigos de limpeza";"1,10";"0,8488"
"maio 2014";"22.Combustíveis e energia";"2,62";"3,8067"
"maio 2014";"3.Artigos de residência";"1,03";"4,4974"
"maio 2014";"4.Vestuário";"0,84";"6,4855"
"maio 2014";"5101.Transporte público";"-1,93";"4,5870"
"maio 2014";"5102.Veículo próprio";"0,41";"9,1633"
"maio 2014";"5104.Combustíveis (veículos)";"-0,67";"5,0270"
"maio 2014";"61.Produtos farmacêuticos e óticos";"1,38";"3,6532"
"maio 2014";"62.Serviços de saúde";"0,64";"4,9044"
"maio 2014";"63.Cuidados pessoais";"1,05";"2,6595"
"maio 2014";"71.Serviços pessoais";"0,88";"6,4881"
"maio 2014";"7201001.Cinema";"0,99";"0,1885"
"maio 2014";"7201002.CD e DVD";"-0,25";"0,0564"
"maio 2014";"7201003.Ingresso para jogo";"-0,52";"0,0138"
"maio 2014";"7201006.Clube";"-0,04";"0,1582"
"maio 2014";"7201010.Instrumento musical";"-0,64";"0,0433"
"maio 2014";"7201018.Tratamento de animais";"-0,04";"0,2096"
"maio 2014";"7201019.Bicicleta";"0,20";"0,0989"
"maio 2014";"7201020.Alimento para animais";"0,99";"0,2517"
"maio 2014";"7201023.Brinquedo";"0,99";"0,4357"
"maio 2014";"7201052.Locação de DVD";"1,50";"0,1284"
"maio 2014";"7201054.Boate e danceteria";"0,06";"0,2907"
"maio 2014";"7201063.Jogos de azar";"5,69";"0,3553"
"maio 2014";"7201068.Motel";"-0,48";"0,0036"
"maio 2014";"7201090.Hotel";"0,87";"0,4279"
"maio 2014";"7201095.Excursão";"-2,08";"0,3716"
"maio 2014";"7202.Fumo";"0,00";"1,0395"
"maio 2014";"7203.Fotografia e filmagem";"1,49";"0,0721"
"maio 2014";"8101.Cursos regulares";"0,00";"3,0147"
"maio 2014";"8102.Leitura";"0,82";"0,5312"
"maio 2014";"8103.Papelaria";"0,55";"0,3414"
"maio 2014";"8104.Cursos diversos";"0,00";"0,8047"
"maio 2014";"9.Comunicação";"0,11";"4,3607"
"junho 2014";"Índice geral";"0,40";"100,0000"
"junho 2014";"1.Alimentação e bebidas";"-0,11";"25,0026"
"junho 2014";"2101.Aluguel e taxas";"0,82";"7,1213"
"junho 2014";"2103.Reparos";"0,33";"2,5208"
"junho 2014";"2104.Artigos de limpeza";"0,92";"0,8542"
"junho 2014";"22.Combustíveis e energia";"0,12";"3,8873"
"junho 2014";"3.Artigos de residência";"0,38";"4,5221"
"junho 2014";"4.Vestuário";"0,49";"6,5084"
"junho 2014";"5101.Transporte público";"2,47";"4,4779"
"junho 2014";"5102.Veículo próprio";"0,17";"9,1625"
"junho 2014";"5104.Combustíveis (veículos)";"-1,17";"4,9728"
"junho 2014";"61.Produtos farmacêuticos e óticos";"0,33";"3,6866"
"junho 2014";"62.Serviços de saúde";"0,71";"4,9151"
"junho 2014";"63.Cuidados pessoais";"0,78";"2,6743"
"junho 2014";"71.Serviços pessoais";"0,54";"6,5164"
"junho 2014";"7201001.Cinema";"0,58";"0,1897"
"junho 2014";"7201002.CD e DVD";"-0,16";"0,0560"
"junho 2014";"7201003.Ingresso para jogo";"2,58";"0,0136"
"junho 2014";"7201006.Clube";"1,62";"0,1575"
"junho 2014";"7201010.Instrumento musical";"1,09";"0,0428"
"junho 2014";"7201018.Tratamento de animais";"0,25";"0,2087"
"junho 2014";"7201019.Bicicleta";"0,51";"0,0987"
"junho 2014";"7201020.Alimento para animais";"0,61";"0,2530"
"junho 2014";"7201023.Brinquedo";"0,57";"0,4381"
"junho 2014";"7201052.Locação de DVD";"-0,28";"0,1297"
"junho 2014";"7201054.Boate e danceteria";"1,01";"0,2896"
"junho 2014";"7201063.Jogos de azar";"3,18";"0,3738"
"junho 2014";"7201068.Motel";"1,28";"0,0035"
"junho 2014";"7201090.Hotel";"25,33";"0,4297"
"junho 2014";"7201095.Excursão";"-0,24";"0,3621"
"junho 2014";"7202.Fumo";"0,00";"1,0350"
"junho 2014";"7203.Fotografia e filmagem";"1,16";"0,0728"
"junho 2014";"8101.Cursos regulares";"0,00";"3,0016"
"junho 2014";"8102.Leitura";"0,04";"0,5331"
"junho 2014";"8103.Papelaria";"0,24";"0,3416"
"junho 2014";"8104.Cursos diversos";"0,00";"0,8012"
"junho 2014";"9.Comunicação";"-0,02";"4,3462"
"julho 2014";"Índice geral";"0,01";"100,0000"
"julho 2014";"1.Alimentação e bebidas";"-0,15";"24,8737"
"julho 2014";"2101.Aluguel e taxas";"0,47";"7,1507"
"julho 2014";"2103.Reparos";"0,35";"2,5191"
"julho 2014";"2104.Artigos de limpeza";"1,00";"0,8586"
"julho 2014";"22.Combustíveis e energia";"3,14";"3,8765"
"julho 2014";"3.Artigos de residência";"0,86";"4,5208"
"julho 2014";"4.Vestuário";"-0,24";"6,5139"
"julho 2014";"5101.Transporte público";"-2,74";"4,5701"
"julho 2014";"5102.Veículo próprio";"-0,16";"9,1411"
"julho 2014";"5104.Combustíveis (veículos)";"-0,87";"4,8953"
"julho 2014";"61.Produtos farmacêuticos e óticos";"0,26";"3,6838"
"julho 2014";"62.Serviços de saúde";"0,68";"4,9301"
"julho 2014";"63.Cuidados pessoais";"0,51";"2,6842"
"julho 2014";"71.Serviços pessoais";"0,51";"6,5249"
"julho 2014";"7201001.Cinema";"0,11";"0,1900"
"julho 2014";"7201002.CD e DVD";"1,11";"0,0556"
"julho 2014";"7201003.Ingresso para jogo";"-6,46";"0,0139"
"julho 2014";"7201006.Clube";"0,85";"0,1595"
"julho 2014";"7201010.Instrumento musical";"-0,53";"0,0431"
"julho 2014";"7201018.Tratamento de animais";"1,37";"0,2084"
"julho 2014";"7201019.Bicicleta";"0,86";"0,0988"
"julho 2014";"7201020.Alimento para animais";"-0,20";"0,2536"
"julho 2014";"7201023.Brinquedo";"0,35";"0,4389"
"julho 2014";"7201052.Locação de DVD";"-0,01";"0,1288"
"julho 2014";"7201054.Boate e danceteria";"0,09";"0,2914"
"julho 2014";"7201063.Jogos de azar";"0,00";"0,3841"
"julho 2014";"7201068.Motel";"0,00";"0,0036"
"julho 2014";"7201090.Hotel";"-7,65";"0,5362"
"julho 2014";"7201095.Excursão";"3,52";"0,3598"
"julho 2014";"7202.Fumo";"0,00";"1,0310"
"julho 2014";"7203.Fotografia e filmagem";"2,08";"0,0734"
"julho 2014";"8101.Cursos regulares";"0,00";"2,9895"
"julho 2014";"8102.Leitura";"0,33";"0,5311"
"julho 2014";"8103.Papelaria";"0,01";"0,3410"
"julho 2014";"8104.Cursos diversos";"0,00";"0,7980"
"julho 2014";"9.Comunicação";"-0,79";"4,3277"
"agosto 2014";"Índice geral";"0,25";"100,0000"
"agosto 2014";"1.Alimentação e bebidas";"-0,15";"24,8354"
"agosto 2014";"2101.Aluguel e taxas";"0,97";"7,1835"
"agosto 2014";"2103.Reparos";"0,38";"2,5275"
"agosto 2014";"2104.Artigos de limpeza";"1,31";"0,8670"
"agosto 2014";"22.Combustíveis e energia";"1,16";"3,9977"
"agosto 2014";"3.Artigos de residência";"0,47";"4,5596"
"agosto 2014";"4.Vestuário";"-0,15";"6,4978"
"agosto 2014";"5101.Transporte público";"0,91";"4,4455"
"agosto 2014";"5102.Veículo próprio";"0,10";"9,1237"
"agosto 2014";"5104.Combustíveis (veículos)";"0,23";"4,8507"
"agosto 2014";"61.Produtos farmacêuticos e óticos";"-0,02";"3,6928"
"agosto 2014";"62.Serviços de saúde";"0,73";"4,9621"
"agosto 2014";"63.Cuidados pessoais";"0,42";"2,6979"
"agosto 2014";"71.Serviços pessoais";"0,97";"6,5574"
"agosto 2014";"7201001.Cinema";"-0,30";"0,1902"
"agosto 2014";"7201002.CD e DVD";"-1,38";"0,0562"
"agosto 2014";"7201003.Ingresso para jogo";"-1,81";"0,0130"
"agosto 2014";"7201006.Clube";"0,02";"0,1606"
"agosto 2014";"7201010.Instrumento musical";"1,32";"0,0429"
"agosto 2014";"7201018.Tratamento de animais";"1,25";"0,2111"
"agosto 2014";"7201019.Bicicleta";"0,44";"0,0996"
"agosto 2014";"7201020.Alimento para animais";"0,42";"0,2530"
"agosto 2014";"7201023.Brinquedo";"-0,88";"0,4403"
"agosto 2014";"7201052.Locação de DVD";"1,31";"0,1288"
"agosto 2014";"7201054.Boate e danceteria";"-0,84";"0,2915"
"agosto 2014";"7201063.Jogos de azar";"0,00";"0,3841"
"agosto 2014";"7201068.Motel";"0,00";"0,0036"
"agosto 2014";"7201090.Hotel";"-10,13";"0,4949"
"agosto 2014";"7201095.Excursão";"-0,61";"0,3723"
"agosto 2014";"7202.Fumo";"0,00";"1,0305"
"agosto 2014";"7203.Fotografia e filmagem";"0,16";"0,0749"
"agosto 2014";"8101.Cursos regulares";"0,26";"2,9890"
"agosto 2014";"8102.Leitura";"0,69";"0,5330"
"agosto 2014";"8103.Papelaria";"-0,04";"0,3411"
"agosto 2014";"8104.Cursos diversos";"1,09";"0,7979"
"agosto 2014";"9.Comunicação";"0,10";"4,2931"
"setembro 2014";"Índice geral";"0,57";"100,0000"
"setembro 2014";"1.Alimentação e bebidas";"0,78";"24,7331"
"setembro 2014";"2101.Aluguel e taxas";"0,31";"7,2355"
"setembro 2014";"2103.Reparos";"0,74";"2,5309"
"setembro 2014";"2104.Artigos de limpeza";"0,49";"0,8761"
"setembro 2014";"22.Combustíveis e energia";"1,66";"4,0332"
"setembro 2014";"3.Artigos de residência";"0,34";"4,5691"
"setembro 2014";"4.Vestuário";"0,57";"6,4712"
"setembro 2014";"5101.Transporte público";"1,71";"4,4731"
"setembro 2014";"5102.Veículo próprio";"0,46";"9,1123"
"setembro 2014";"5104.Combustíveis (veículos)";"-0,05";"4,8509"
"setembro 2014";"61.Produtos farmacêuticos e óticos";"0,08";"3,6826"
"setembro 2014";"62.Serviços de saúde";"0,69";"4,9862"
"setembro 2014";"63.Cuidados pessoais";"-0,01";"2,7018"
"setembro 2014";"71.Serviços pessoais";"0,73";"6,6051"
"setembro 2014";"7201001.Cinema";"-0,38";"0,1891"
"setembro 2014";"7201002.CD e DVD";"-0,21";"0,0553"
"setembro 2014";"7201003.Ingresso para jogo";"0,88";"0,0127"
"setembro 2014";"7201006.Clube";"0,77";"0,1604"
"setembro 2014";"7201010.Instrumento musical";"-0,29";"0,0433"
"setembro 2014";"7201018.Tratamento de animais";"1,58";"0,2133"
"setembro 2014";"7201019.Bicicleta";"-0,29";"0,0998"
"setembro 2014";"7201020.Alimento para animais";"-0,10";"0,2534"
"setembro 2014";"7201023.Brinquedo";"-0,10";"0,4353"
"setembro 2014";"7201052.Locação de DVD";"0,06";"0,1302"
"setembro 2014";"7201054.Boate e danceteria";"0,51";"0,2884"
"setembro 2014";"7201063.Jogos de azar";"0,00";"0,3831"
"setembro 2014";"7201068.Motel";"0,73";"0,0035"
"setembro 2014";"7201090.Hotel";"0,81";"0,4438"
"setembro 2014";"7201095.Excursão";"-4,09";"0,3691"
"setembro 2014";"7202.Fumo";"0,00";"1,0282"
"setembro 2014";"7203.Fotografia e filmagem";"0,75";"0,0748"
"setembro 2014";"8101.Cursos regulares";"0,00";"2,9894"
"setembro 2014";"8102.Leitura";"0,35";"0,5352"
"setembro 2014";"8103.Papelaria";"1,19";"0,3401"
"setembro 2014";"8104.Cursos diversos";"0,30";"0,8043"
"setembro 2014";"9.Comunicação";"0,13";"4,2862"
"outubro 2014";"Índice geral";"0,42";"100,0000"
"outubro 2014";"1.Alimentação e bebidas";"0,46";"24,7850"
"outubro 2014";"2101.Aluguel e taxas";"0,52";"7,2170"
"outubro 2014";"2103.Reparos";"0,62";"2,5356"
"outubro 2014";"2104.Artigos de limpeza";"0,19";"0,8754"
"outubro 2014";"22.Combustíveis e energia";"1,10";"4,0777"
"outubro 2014";"3.Artigos de residência";"0,19";"4,5589"
"outubro 2014";"4.Vestuário";"0,62";"6,4710"
"outubro 2014";"5101.Transporte público";"0,16";"4,5241"
"outubro 2014";"5102.Veículo próprio";"0,61";"9,1015"
"outubro 2014";"5104.Combustíveis (veículos)";"0,19";"4,8209"
"outubro 2014";"61.Produtos farmacêuticos e óticos";"0,17";"3,6651"
"outubro 2014";"62.Serviços de saúde";"0,60";"4,9925"
"outubro 2014";"63.Cuidados pessoais";"0,29";"2,6864"
"outubro 2014";"71.Serviços pessoais";"0,43";"6,6160"
"outubro 2014";"7201001.Cinema";"-0,04";"0,1873"
"outubro 2014";"7201002.CD e DVD";"-1,60";"0,0548"
"outubro 2014";"7201003.Ingresso para jogo";"2,05";"0,0127"
"outubro 2014";"7201006.Clube";"1,28";"0,1608"
"outubro 2014";"7201010.Instrumento musical";"-0,39";"0,0430"
"outubro 2014";"7201018.Tratamento de animais";"0,65";"0,2154"
"outubro 2014";"7201019.Bicicleta";"0,13";"0,0989"
"outubro 2014";"7201020.Alimento para animais";"0,39";"0,2518"
"outubro 2014";"7201023.Brinquedo";"0,94";"0,4324"
"outubro 2014";"7201052.Locação de DVD";"0,28";"0,1295"
"outubro 2014";"7201054.Boate e danceteria";"0,13";"0,2882"
"outubro 2014";"7201063.Jogos de azar";"0,00";"0,3809"
"outubro 2014";"7201068.Motel";"0,00";"0,0035"
"outubro 2014";"7201090.Hotel";"-0,62";"0,4448"
"outubro 2014";"7201095.Excursão";"1,14";"0,3523"
"outubro 2014";"7202.Fumo";"0,00";"1,0226"
"outubro 2014";"7203.Fotografia e filmagem";"1,54";"0,0750"
"outubro 2014";"8101.Cursos regulares";"0,00";"2,9725"
"outubro 2014";"8102.Leitura";"0,82";"0,5341"
"outubro 2014";"8103.Papelaria";"0,19";"0,3422"
"outubro 2014";"8104.Cursos diversos";"0,00";"0,8022"
"outubro 2014";"9.Comunicação";"-0,05";"4,2676"
"novembro 2014";"Índice geral";"0,51";"100,0000"
"novembro 2014";"1.Alimentação e bebidas";"0,77";"24,7967"
"novembro 2014";"2101.Aluguel e taxas";"0,37";"7,2236"
"novembro 2014";"2103.Reparos";"0,67";"2,5406"
"novembro 2014";"2104.Artigos de limpeza";"0,25";"0,8736"
"novembro 2014";"22.Combustíveis e energia";"1,35";"4,1051"
"novembro 2014";"3.Artigos de residência";"-0,04";"4,5488"
"novembro 2014";"4.Vestuário";"0,39";"6,4846"
"novembro 2014";"5101.Transporte público";"-0,14";"4,5125"
"novembro 2014";"5102.Veículo próprio";"0,07";"9,1189"
"novembro 2014";"5104.Combustíveis (veículos)";"1,64";"4,8091"
"novembro 2014";"61.Produtos farmacêuticos e óticos";"0,07";"3,6557"
"novembro 2014";"62.Serviços de saúde";"0,73";"5,0010"
"novembro 2014";"63.Cuidados pessoais";"0,30";"2,6833"
"novembro 2014";"71.Serviços pessoais";"0,57";"6,6158"
"novembro 2014";"7201001.Cinema";"-0,37";"0,1864"
"novembro 2014";"7201002.CD e DVD";"0,74";"0,0538"
"novembro 2014";"7201003.Ingresso para jogo";"-1,49";"0,0130"
"novembro 2014";"7201006.Clube";"-0,70";"0,1621"
"novembro 2014";"7201010.Instrumento musical";"-0,42";"0,0426"
