"Tabela 1419 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Brasil"
"Mês";"Geral, grupo, subgrupo, item e subitem";"IPCA - Variação mensal (%)";"IPCA - Peso mensal (%)"
"março 2012";"7201002.CD e DVD";"-0,19";"0,0644"
"março 2012";"7201003.Ingresso para jogo";"0,43";"0,0149"
"março 2012";"7201006.Clube";"-0,31";"0,1602"
"março 2012";"7201010.Instrumento musical";"1,19";"0,0408"
"março 2012";"7201018.Tratamento de animais";"1,17";"0,1932"
"março 2012";"7201019.Bicicleta";"1,13";"0,0949"
"março 2012";"7201020.Alimento para animais";"-0,24";"0,2514"
"março 2012";"7201023.Brinquedo";"0,68";"0,4471"
"março 2012";"7201052.Locação de DVD";"1,09";"0,1385"
"março 2012";"7201054.Boate e danceteria";"2,03";"0,2876"
"março 2012";"7201063.Jogos de azar";"0,00";"0,4105"
"março 2012";"7201068.Motel";"-5,15";"0,0040"
"março 2012";"7201090.Hotel";"-0,20";"0,3999"
"março 2012";"7201095.Excursão";"-6,23";"0,3854"
"março 2012";"7202.Fumo";"0,00";"0,7729"
"março 2012";"7203.Fotografia e filmagem";"-0,06";"0,0834"
"março 2012";"8101.Cursos regulares";"0,59";"2,9245"
"março 2012";"8102.Leitura";"0,07";"0,5598"
"março 2012";"8103.Papelaria";"0,61";"0,3300"
"março 2012";"8104.Cursos diversos";"0,66";"0,7754"
"março 2012";"9.Comunicação";"-0,36";"4,9135"
"abril 2012";"Índice geral";"0,64";"100,0000"
"abril 2012";"1.Alimentação e bebidas";"0,51";"23,1401"
"abril 2012";"2101.Aluguel e taxas";"0,90";"6,8435"
"abril 2012";"2103.Reparos";"0,88";"2,4201"
"abril 2012";"2104.Artigos de limpeza";"1,38";"0,8271"
"abril 2012";"22.Combustíveis e energia";"0,50";"4,5817"
"abril 2012";"3.Artigos de residência";"-0,79";"4,6102"
"abril 2012";"4.Vestuário";"0,98";"6,5376"
"abril 2012";"5101.Transporte público";"0,37";"4,9625"
"abril 2012";"5102.Veículo próprio";"0,06";"10,1972"
"abril 2012";"5104.Combustíveis (veículos)";"-0,07";"5,2453"
"abril 2012";"61.Produtos farmacêuticos e óticos";"1,47";"3,7498"
"abril 2012";"62.Serviços de saúde";"0,74";"4,7069"
"abril 2012";"63.Cuidados pessoais";"0,61";"2,6540"
"abril 2012";"71.Serviços pessoais";"1,47";"6,1177"
"abril 2012";"7201001.Cinema";"-0,55";"0,1847"
"abril 2012";"7201002.CD e DVD";"1,12";"0,0641"
"abril 2012";"7201003.Ingresso para jogo";"0,66";"0,0149"
"abril 2012";"7201006.Clube";"0,37";"0,1595"
"abril 2012";"7201010.Instrumento musical";"0,61";"0,0412"
"abril 2012";"7201018.Tratamento de animais";"1,04";"0,1951"
"abril 2012";"7201019.Bicicleta";"-0,06";"0,0957"
"abril 2012";"7201020.Alimento para animais";"-0,49";"0,2503"
"abril 2012";"7201023.Brinquedo";"-0,14";"0,4492"
"abril 2012";"7201052.Locação de DVD";"0,61";"0,1397"
"abril 2012";"7201054.Boate e danceteria";"0,97";"0,2928"
"abril 2012";"7201063.Jogos de azar";"0,00";"0,4097"
"abril 2012";"7201068.Motel";"7,43";"0,0038"
