"Tabela 2938 - IPCA - Variação mensal, acumulada no ano e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de julho/2006 até dezembro/2011)"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Brasil"
"Mês";"Geral, grupo, subgrupo, item e subitem";"IPCA - Variação mensal (%)";"IPCA - Peso mensal (%)"
"setembro 2006";"7201003.Ingresso para jogo";"-2,37";"0,0503"
"setembro 2006";"7201006.Clube";"0,22";"0,1990"
"setembro 2006";"7201008.Disco laser";"-0,18";"0,2774"
"setembro 2006";"7201010.Instrumento musical";"1,05";"0,0945"
"setembro 2006";"7201018.Compra e tratamento de animais";"2,44";"0,0673"
"setembro 2006";"7201019.Bicicleta";"0,04";"0,0852"
"setembro 2006";"7201020.Alimento para animais";"-0,17";"0,3227"
"setembro 2006";"7201023.Brinquedo";"1,44";"0,4533"
"setembro 2006";"7201052.Aluguel de DVD e fita de videocassete";"-0,11";"0,2321"
"setembro 2006";"7201054.Boate, danceteria e discoteca";"0,91";"0,4250"
"setembro 2006";"7201063.Jogos de azar";"0,00";"0,4332"
"setembro 2006";"7201068.Motel";"-0,13";"0,0845"
"setembro 2006";"7201083.Material esportivo";"-2,51";"0,0053"
"setembro 2006";"7201090.Hotel";"0,07";"0,2995"
"setembro 2006";"7201095.Excursão";"0,67";"0,1124"
"setembro 2006";"7202.Fumo";"2,72";"0,7473"
"setembro 2006";"7203.Fotografia e filmagem";"0,41";"0,2632"
"setembro 2006";"8101.Cursos";"0,02";"4,8814"
"setembro 2006";"8102.Leitura";"0,08";"0,8364"
"setembro 2006";"8103.Papelaria";"-1,11";"0,3335"
"setembro 2006";"8104.Cursos diversos";"0,11";"1,0566"
"setembro 2006";"9.Comunicação";"-0,07";"6,5153"
"outubro 2006";"Índice geral";"0,33";"100,0000"
"outubro 2006";"1.Alimentação e bebidas";"0,88";"20,2494"
"outubro 2006";"2101.Aluguel e taxas";"0,27";"6,3472"
"outubro 2006";"2103.Reparos";"-0,11";"1,4070"
"outubro 2006";"2104.Artigos de limpeza";"-0,01";"0,7858"
"outubro 2006";"22.Combustíveis e energia";"0,23";"5,1745"
"outubro 2006";"3.Artigos de residência";"-0,41";"4,8039"
"outubro 2006";"4.Vestuário";"0,64";"6,5163"
"outubro 2006";"5101.Transporte público";"-0,07";"6,3501"
"outubro 2006";"5102.Veículo próprio";"-0,06";"9,1640"
"outubro 2006";"5104.Combustíveis (veículos)";"-0,34";"5,3582"
"outubro 2006";"61.Produtos farmacêuticos e óticos";"0,16";"3,4664"
"outubro 2006";"62.Serviços de saúde";"0,52";"4,9599"
"outubro 2006";"63.Cuidados pessoais";"0,36";"2,3735"
"outubro 2006";"71.Serviços pessoais";"1,03";"4,9721"
"outubro 2006";"7201001.Cinema";"0,37";"0,3051"
"outubro 2006";"7201003.Ingresso para jogo";"0,02";"0,0490"
"outubro 2006";"7201006.Clube";"0,63";"0,1991"
"outubro 2006";"7201008.Disco laser";"0,35";"0,2764"
"outubro 2006";"7201010.Instrumento musical";"-0,40";"0,0953"
"outubro 2006";"7201018.Compra e tratamento de animais";"-0,34";"0,0688"
"outubro 2006";"7201019.Bicicleta";"-0,19";"0,0851"
"outubro 2006";"7201020.Alimento para animais";"1,06";"0,3215"
"outubro 2006";"7201023.Brinquedo";"0,67";"0,4589"
"outubro 2006";"7201052.Aluguel de DVD e fita de videocassete";"2,43";"0,2314"
