15052003;220;A;USD;2,9298;2,9306;1,0000;1,0000
16052003;220;A;USD;2,9723;2,9731;1,0000;1,0000
19052003;220;A;USD;2,9807;2,9815;1,0000;1,0000
20052003;220;A;USD;3,0133;3,0141;1,0000;1,0000
21052003;220;A;USD;3,0101;3,0109;1,0000;1,0000
22052003;220;A;USD;2,9834;2,9842;1,0000;1,0000
23052003;220;A;USD;2,9437;2,9445;1,0000;1,0000
26052003;220;A;USD;2,9557;2,9565;1,0000;1,0000
27052003;220;A;USD;3,0249;3,0257;1,0000;1,0000
28052003;220;A;USD;3,0132;3,0140;1,0000;1,0000
29052003;220;A;USD;2,9480;2,9488;1,0000;1,0000
30052003;220;A;USD;2,9648;2,9656;1,0000;1,0000
02062003;220;A;USD;2,9772;2,9780;1,0000;1,0000
03062003;220;A;USD;2,9632;2,9640;1,0000;1,0000
04062003;220;A;USD;2,9104;2,9112;1,0000;1,0000
05062003;220;A;USD;2,8921;2,8929;1,0000;1,0000
06062003;220;A;USD;2,8483;2,8491;1,0000;1,0000
09062003;220;A;USD;2,8674;2,8682;1,0000;1,0000
10062003;220;A;USD;2,8595;2,8603;1,0000;1,0000
11062003;220;A;USD;2,8684;2,8692;1,0000;1,0000
12062003;220;A;USD;2,8612;2,8620;1,0000;1,0000
13062003;220;A;USD;2,8562;2,8570;1,0000;1,0000
16062003;220;A;USD;2,8500;2,8508;1,0000;1,0000
17062003;220;A;USD;2,8736;2,8744;1,0000;1,0000
18062003;220;A;USD;2,8894;2,8902;1,0000;1,0000
20062003;220;A;USD;2,8925;2,8933;1,0000;1,0000
23062003;220;A;USD;2,8780;2,8788;1,0000;1,0000
24062003;220;A;USD;2,8608;2,8616;1,0000;1,0000
25062003;220;A;USD;2,8551;2,8559;1,0000;1,0000
26062003;220;A;USD;2,8932;2,8940;1,0000;1,0000
27062003;220;A;USD;2,8804;2,8812;1,0000;1,0000
30062003;220;A;USD;2,8712;2,8720;1,0000;1,0000
01072003;220;A;USD;2,8435;2,8443;1,0000;1,0000
02072003;220;A;USD;2,8211;2,8219;1,0000;1,0000
03072003;220;A;USD;2,8324;2,8332;1,0000;1,0000
04072003;220;A;USD;2,8291;2,8299;1,0000;1,0000
07072003;220;A;USD;2,8668;2,8676;1,0000;1,0000
08072003;220;A;USD;2,8815;2,8823;1,0000;1,0000
09072003;220;A;USD;2,8663;2,8671;1,0000;1,0000
10072003;220;A;USD;2,8914;2,8922;1,0000;1,0000
11072003;220;A;USD;2,9021;2,9029;1,0000;1,0000
14072003;220;A;USD;2,8745;2,8753;1,0000;1,0000
15072003;220;A;USD;2,8546;2,8554;1,0000;1,0000
16072003;220;A;USD;2,8669;2,8677;1,0000;1,0000
17072003;220;A;USD;2,8555;2,8563;1,0000;1,0000
18072003;220;A;USD;2,8766;2,8774;1,0000;1,0000
21072003;220;A;USD;2,8820;2,8828;1,0000;1,0000
22072003;220;A;USD;2,8818;2,8826;1,0000;1,0000
